iter	Passed	Remaining
186	15884	69059
187	16033	69250
188	16203	69530
189	16367	69777
190	16481	69809
191	16729	70401
192	17036	71237
193	17153	71265
194	17264	71273
195	17450	71584
196	17565	71601
197	17668	71564
198	17770	71526
199	17970	71882
200	18231	72473
201	18334	72429
202	18435	72381
203	18536	72329
204	18642	72294
205	18748	72264
206	18882	72335
207	19030	72461
208	19181	72596
209	19324	72696
210	19427	72647
211	19615	72910
212	19744	72954
213	19864	72961
214	20028	73125
215	20178	73242
216	20334	73371
217	20438	73314
218	20559	73319
219	20684	73335
220	20793	73294
221	20904	73259
222	21012	73214
223	21135	73220
224	21245	73178
225	21402	73298
226	21553	73396
227	21699	73472
228	21828	73491
229	21934	73433
230	22148	73733
231	22260	73688
232	22367	73630
233	22413	73369
234	22455	73098
235	22496	72827
236	22534	72548
237	22572	72271
238	22615	72011
239	22657	71748
240	22696	71481
241	22737	71218
242	22775	70951
243	22812	70680
244	22849	70412
245	22886	70147
246	22929	69903
247	22966	69640
248	23001	69374
249	23040	69121
250	23083	68883
251	23122	68632
252	23159	68380
253	23200	68139
254	23238	67892
255	23276	67646
256	23314	67403
257	23353	67164
258	23391	66924
259	23448	66738
260	23500	66539
261	23552	66341
262	23656	66292
263	23800	66353
264	23839	66119
265	23879	65894
266	23935	65711
267	23974	65481
268	24012	65254
269	24054	65036
270	24096	64820
271	24140	64611
272	24179	64390
273	24220	64174
274	24263	63967
275	24302	63748
276	24339	63528
277	24377	63312
278	24416	63098
279	24452	62878
280	24492	62669
281	24541	62486
282	24586	62290
283	24626	62087
284	24665	61880
285	24703	61673
286	24743	61470
287	24786	61276
288	24827	61080
289	24870	60890
290	24912	60698
291	24956	60510
292	25011	60351
293	25131	60350
294	25182	60181
295	25234	60018
296	25278	59833
297	25325	59659
298	25374	59491
299	25420	59315
300	25472	59153
301	25531	59010
302	25600	58889
303	25681	58797
304	25733	58638
305	25796	58506
306	25861	58377
307	25980	58372
308	26082	58327
309	26127	58153
310	26167	57971
311	26208	57792
312	26268	57655
313	26320	57503
314	26364	57331
315	26411	57168
316	26461	57014
317	26538	56915
318	26608	56804
319	26678	56691
320	26723	56528
321	26775	56379
322	26856	56289
323	26923	56173
324	27001	56079
325	27091	56012
326	27143	55864
327	27188	55703
328	27231	55538
329	27283	55392
330	27321	55221
331	27365	55059
332	27436	54955
333	27491	54817
334	27560	54708
335	27671	54683
336	27746	54587
337	27787	54424
338	27850	54303
339	27905	54169
340	27952	54020
341	28015	53901
342	28089	53803
343	28134	53651
344	28180	53502
345	28221	53344
346	28323	53299
347	28377	53166
348	28424	53021
349	28486	52903
350	28560	52808
351	28638	52721
352	28693	52590
353	28758	52480
354	28822	52367
355	28876	52236
356	28934	52113
357	28983	51976
358	29052	51873
359	29123	51775
360	29174	51642
361	29235	51526
362	29304	51424
363	29373	51323
364	29473	51275
365	29539	51169
366	29590	51038
367	29647	50916
368	29697	50783
369	29762	50676
370	29813	50545
371	29876	50436
372	29956	50355
373	30046	50291
374	30105	50175
375	30145	50029
376	30190	49890
377	30242	49763
378	30301	49649
379	30345	49510
380	30405	49398
381	30479	49309
382	30594	49286
383	30633	49141
384	30680	49009
385	30755	48922
386	30808	48800
387	30889	48723
388	30970	48644
389	31075	48604
390	31182	48567
391	31227	48434
392	31272	48300
393	31313	48162
394	31365	48041
395	31419	47922
396	31501	47847
397	31605	47805
398	31696	47743
399	31840	47761
400	31957	47736
401	32075	47714
402	32175	47665
403	32277	47617
404	32386	47579
405	32494	47540
406	32691	47631
407	32859	47678
408	32963	47632
409	33077	47599
410	33247	47647
411	33355	47603
412	33462	47560
413	33579	47529
414	33827	47684
415	33935	47640
416	34035	47584
417	34145	47542
418	34375	47666
419	34492	47631
420	34602	47588
421	34712	47544
422	34936	47655
423	35115	47704
424	35222	47653
425	35327	47600
426	35437	47553
427	35567	47534
428	35741	47572
429	36051	47789
430	36164	47743
431	36283	47705
432	36394	47657
433	36499	47601
434	36602	47541
435	36709	47486
436	36812	47426
437	36920	47372
438	37065	47366
439	37193	47336
440	37293	47272
441	37506	47350
442	37747	47461
443	37901	47462
444	38018	47416
445	38207	47459
446	38321	47409
447	38426	47347
448	38536	47290
449	38701	47302
450	38849	47291
451	38963	47239
452	39076	47184
453	39183	47123
454	39287	47058
455	39439	47050
456	39548	46991
457	39654	46927
458	39759	46862
459	39868	46802
460	39994	46761
461	40103	46700
462	40207	46633
463	40276	46526
464	40328	46398
465	40377	46269
466	40455	46172
467	40523	46064
468	40587	45952
469	40646	45835
470	40689	45699
471	40731	45563
472	40775	45430
473	40819	45297
474	40858	45159
475	40898	45023
476	40941	44889
477	40986	44759
478	41026	44623
479	41068	44490
480	41105	44353
481	41144	44217
482	41184	44084
483	41226	43952
484	41266	43819
485	41307	43687
486	41347	43554
487	41398	43434
488	41437	43301
489	41477	43170
490	41532	43055
491	41583	42935
492	41620	42802
493	41659	42671
494	41698	42541
495	41741	42414
496	41781	42285
497	41821	42157
498	41865	42032
499	41906	41906
500	41956	41788
501	42002	41667
502	42045	41544
503	42084	41416
504	42125	41291
505	42168	41168
506	42205	41040
507	42242	40912
508	42282	40787
509	42325	40665
510	42371	40547
511	42416	40428
512	42461	40309
513	42506	40191
514	42580	40100
515	42625	39982
516	42669	39862
517	42727	39758
518	42830	39694
519	42946	39642
520	43008	39540
521	43052	39423
522	43102	39311
523	43147	39195
524	43212	39097
525	43295	39015
526	43349	38907
527	43432	38825
528	43485	38717
529	43537	38608
530	43587	38498
531	43627	38379
532	43670	38262
533	43733	38164
534	43804	38072
535	43846	37956
536	43893	37845
537	43952	37743
538	43992	37626
539	44030	37507
540	44073	37393
541	44118	37280
542	44164	37169
543	44242	37085
544	44320	37001
545	44366	36890
546	44416	36783
547	44494	36699
548	44570	36614
549	44618	36505
550	44671	36401
551	44715	36291
552	44767	36186
553	44817	36080
554	44874	35980
555	44947	35893
556	44996	35787
557	45056	35689
558	45100	35580
559	45141	35468
560	45189	35362
561	45270	35281
562	45337	35191
563	45392	35090
564	45441	34985
565	45517	34902
566	45588	34814
567	45652	34721
568	45701	34617
569	45756	34518
570	45806	34414
571	45853	34309
572	45936	34231
573	46021	34154
574	46125	34092
575	46165	33982
576	46215	33880
577	46275	33785
578	46326	33684
579	46375	33582
580	46435	33487
581	46481	33383
582	46521	33275
583	46567	33171
584	46635	33083
585	46703	32995
586	46752	32893
587	46814	32801
588	46939	32753
589	47003	32663
590	47045	32558
591	47085	32450
592	47128	32345
593	47171	32241
594	47231	32148
595	47278	32047
596	47368	31975
597	47422	31879
598	47478	31784
599	47523	31682
600	47566	31578
601	47611	31477
602	47669	31384
603	47744	31302
604	47810	31214
605	47869	31122
606	47926	31029
607	47971	30929
608	48015	30827
609	48061	30727
610	48120	30636
611	48179	30544
612	48256	30465
613	48321	30378
614	48423	30314
615	48466	30213
616	48526	30122
617	48581	30029
618	48629	29931
619	48675	29833
620	48722	29735
621	48768	29637
622	48815	29540
623	48894	29461
624	48969	29381
625	49026	29290
626	49085	29200
627	49128	29101
628	49172	29003
629	49218	28905
630	49264	28808
631	49317	28716
632	49370	28624
633	49486	28568
634	49564	28489
635	49611	28394
636	49658	28298
637	49697	28198
638	49740	28100
639	49783	28003
640	49843	27915
641	49901	27826
642	49946	27731
643	49996	27637
644	50042	27542
645	50087	27447
646	50127	27349
647	50178	27257
648	50222	27161
649	50271	27069
650	50330	26982
651	50379	26889
652	50427	26796
653	50470	26701
654	50511	26605
655	50602	26535
656	50641	26438
657	50683	26342
658	50740	26255
659	50798	26168
660	50891	26100
661	50950	26013
662	50993	25919
663	51035	25824
664	51088	25736
665	51136	25644
666	51193	25558
667	51235	25464
668	51284	25373
669	51327	25280
670	51379	25191
671	51436	25106
672	51508	25026
673	51559	24938
674	51613	24851
675	51677	24768
676	51739	24685
677	51805	24603
678	51871	24522
679	51951	24447
680	52033	24373
681	52083	24285
682	52123	24192
683	52170	24102
684	52226	24016
685	52268	23924
686	52315	23835
687	52365	23747
688	52412	23657
