iter	RMSE
147	0.1670432162
148	0.1661828804
149	0.1652113396
150	0.1645506862
151	0.1639436244
152	0.1634512612
153	0.1625648612
154	0.1623747992
155	0.161961402
156	0.1609903208
157	0.1605093807
158	0.1594801356
159	0.1590076847
160	0.1582862844
161	0.1575379076
162	0.1567630551
163	0.1562880574
164	0.1560456345
165	0.1558368504
166	0.1552937717
167	0.154492228
168	0.1535129637
169	0.1529875369
170	0.1525472946
171	0.1518634762
172	0.1514313343
173	0.1507488858
174	0.1501020832
175	0.1494471889
176	0.1484014873
177	0.1473017576
178	0.1470984565
179	0.1463263732
180	0.1458378152
181	0.1450314296
182	0.1442307478
183	0.1434435221
184	0.1429549847
185	0.1425084112
186	0.1423635923
187	0.1416351078
188	0.1412743643
189	0.1407502947
190	0.1401480018
191	0.1396005054
192	0.1391783151
193	0.1387556456
194	0.1382797152
195	0.1374562926
196	0.1370125384
197	0.1365650737
198	0.1360299265
199	0.1354159299
200	0.1347646958
201	0.1343866924
202	0.1335673263
203	0.1330813516
204	0.1326610196
205	0.131796633
206	0.1313553867
207	0.1310604499
208	0.1303377505
209	0.1298036092
210	0.1292786089
211	0.1288076259
212	0.1285150824
213	0.1279928253
214	0.1275007788
215	0.1270633074
216	0.1266562682
217	0.1262808225
218	0.1257246467
219	0.1252252636
220	0.1246063174
221	0.1242991279
222	0.1240116327
223	0.1236713585
224	0.1232928012
225	0.1230522234
226	0.1228637332
227	0.1226432913
228	0.1222955334
229	0.1220350416
230	0.1217141492
231	0.1215043821
232	0.121084158
233	0.1208392319
234	0.1207158675
235	0.1204922785
236	0.120259778
237	0.1201623019
238	0.1199846218
239	0.1197058072
240	0.1195398095
241	0.1193589671
242	0.1190117676
243	0.1186654459
244	0.1184359984
245	0.1183492798
246	0.118246054
247	0.1176758154
248	0.1174989768
249	0.1171391185
250	0.1166979532
251	0.1164840489
252	0.1164149171
253	0.1163496554
254	0.1160972292
255	0.1155766403
256	0.1152662076
257	0.1149410406
258	0.114930284
259	0.1147205942
260	0.1143185698
261	0.1141351733
262	0.1139400444
263	0.1137114601
264	0.1136299407
265	0.1132583504
266	0.1129199671
267	0.1128896697
268	0.1125979256
269	0.1125288935
270	0.1124730894
271	0.112393161
272	0.1122018856
273	0.1119705798
274	0.1118209095
275	0.1117027013
276	0.1114543847
277	0.1111411236
278	0.1106698633
279	0.1104346954
280	0.1103882761
281	0.1100537671
282	0.1097037747
283	0.1092428779
284	0.1086617619
285	0.1084449695
286	0.1082071344
287	0.1080562606
288	0.1076873539
289	0.107615748
290	0.1074468536
291	0.1069239591
292	0.1067240036
293	0.1064607827
294	0.1063502015
295	0.1059359063
296	0.1056643514
297	0.1056287409
298	0.1054207372
299	0.1051466444
300	0.1048329155
301	0.1045154854
302	0.1043336631
303	0.104249422
304	0.1041945445
305	0.1038916128
306	0.1036081549
307	0.1034405277
308	0.1031998614
309	0.1028323498
310	0.1025206957
311	0.1021269451
312	0.1020325731
313	0.1018380387
314	0.1017511926
315	0.1014762867
316	0.1014056953
317	0.1010870249
318	0.1007998287
319	0.1006039578
320	0.1001905725
321	0.09998946549
322	0.09975406736
323	0.09943913198
324	0.09923287098
325	0.09914279886
326	0.09886808242
327	0.09874143421
328	0.09858903623
329	0.09852971534
330	0.09814596738
331	0.09793035863
332	0.09770729499
333	0.097501275
334	0.09718952415
335	0.09695324203
336	0.09668232617
337	0.09645122551
338	0.09643537501
339	0.09606570278
340	0.09565151896
341	0.09537840967
342	0.09532930935
343	0.0952436244
344	0.09485344696
345	0.0946455537
346	0.09445694523
347	0.09445146022
348	0.09418939414
349	0.09403388877
350	0.09370848709
351	0.09363488149
352	0.09342597761
353	0.0933767038
354	0.09316277922
355	0.09272189712
356	0.09262446118
357	0.09238053303
358	0.09223294697
359	0.09201469457
360	0.09181032376
361	0.09148861351
362	0.09127924005
363	0.09108906504
364	0.09097195947
365	0.09078634599
366	0.09067297039
367	0.09042733294
368	0.09016833069
369	0.0900171468
370	0.08975945109
371	0.08969405138
372	0.08950809703
373	0.08928053827
374	0.08899536372
375	0.08862970027
376	0.08849821432
377	0.08823296821
378	0.08797762403
379	0.08796660873
380	0.08765765333
381	0.0873177205
382	0.0868187009
383	0.0867143982
384	0.08658817466
385	0.0865583322
386	0.08649883869
387	0.08643788258
388	0.08642859901
389	0.08602141687
390	0.08569060838
391	0.08562361682
392	0.0853431589
393	0.08520995619
394	0.08504572117
395	0.08486143726
396	0.08472287666
397	0.0845019383
398	0.08430343367
399	0.0840356073
400	0.08374856739
401	0.08361691772
402	0.08331800408
403	0.08311150238
404	0.08298083046
405	0.08287343929
406	0.08270838729
407	0.08250290978
408	0.08237608636
409	0.08234408846
410	0.08232933208
411	0.08205632903
412	0.08190041571
413	0.08188162904
414	0.08157835805
415	0.08143391005
416	0.08140592709
417	0.0812702189
418	0.0812312942
419	0.08120427044
420	0.08111059719
421	0.0807977009
422	0.08078523848
423	0.08069280162
424	0.08059648658
425	0.08038027645
426	0.08013349892
427	0.08009715783
428	0.07995745054
429	0.07972792351
430	0.07960174507
431	0.07938979716
432	0.07917547334
433	0.07911667169
434	0.0789724918
435	0.07883487775
436	0.07863853027
437	0.07841483065
438	0.07831433214
439	0.07830679713
440	0.07823677011
441	0.07789157337
442	0.07763730652
443	0.07743136645
444	0.07722344031
445	0.07719368148
446	0.07699765078
447	0.07668312982
448	0.0765448795
449	0.07648877412
450	0.07639930426
451	0.07621463963
452	0.07599039483
453	0.07586653936
454	0.07572157184
455	0.07557524168
456	0.07549636621
457	0.07543728633
458	0.07524198091
459	0.07506373105
460	0.07498152926
461	0.0749048799
462	0.07485435157
463	0.07470093713
464	0.07459516568
465	0.07442482604
466	0.07416425388
467	0.0739890256
468	0.07383283079
469	0.07374431744
470	0.07358159196
471	0.07356756087
472	0.07347995037
473	0.07333388056
474	0.07322740056
475	0.07312451436
476	0.07301769642
477	0.07283042787
478	0.07265386946
479	0.07249223906
480	0.07239705416
481	0.0723856017
482	0.07226900777
483	0.07210298079
484	0.07194515951
485	0.07180390514
486	0.07169303484
487	0.07159341337
488	0.07144568527
489	0.07119255621
490	0.07108790694
491	0.07089508755
492	0.0707564131
493	0.07062965665
494	0.07046733458
495	0.07039923678
496	0.07038146337
497	0.07033888386
498	0.07024947744
499	0.07012650651
500	0.07001736143
501	0.06992100313
502	0.06991164751
503	0.06978951177
504	0.06966517885
505	0.06951851304
506	0.06924634802
507	0.06902912297
508	0.06901690655
509	0.06886213106
510	0.06871447158
511	0.06863140865
512	0.06855214408
513	0.0684382446
514	0.06842119428
515	0.06831093291
516	0.06812141528
517	0.06793083505
518	0.06773431822
519	0.06761287019
520	0.06759346419
521	0.06744419364
522	0.06730277932
523	0.06719636043
524	0.06712708162
525	0.06711551455
526	0.06703625706
527	0.06686766262
528	0.06677560369
529	0.06670004818
530	0.06664451438
531	0.06658376989
532	0.06643965098
533	0.0664243882
534	0.06637078653
535	0.06635312961
536	0.06623751572
537	0.06619381279
538	0.06609416996
539	0.06586610435
540	0.06579048436
541	0.06566496044
542	0.06558578511
543	0.06547287399
544	0.06535908831
545	0.06531992639
546	0.06525785075
547	0.06516376187
548	0.06512664954
549	0.0649890191
550	0.0649791057
551	0.06491166387
552	0.06483173869
553	0.06470996123
554	0.0647042505
555	0.06467092475
556	0.06464083507
557	0.0645047495
558	0.06433952584
559	0.06406731893
560	0.06383892191
561	0.06362404177
562	0.06347934813
563	0.06332466976
564	0.06313620974
565	0.06296251461
566	0.06286341199
567	0.06268891039
568	0.06261614908
569	0.06248558275
570	0.0623639841
571	0.06216545297
572	0.06207990708
573	0.06187119541
574	0.061783145
575	0.06173795617
576	0.06167454957
577	0.06160873888
578	0.06152427599
579	0.06147188074
580	0.0614139751
581	0.06136031249
582	0.06124929932
583	0.06111838455
584	0.0609478853
585	0.06081066572
586	0.06074731698
587	0.06058690946
588	0.06041831795
589	0.06032594752
590	0.06010696381
591	0.06000110987
592	0.05979233281
593	0.05964233958
594	0.05958095304
595	0.05936051391
596	0.05925154236
597	0.05918177146
598	0.0590448167
599	0.05890280305
600	0.05884401832
601	0.05878962661
602	0.05868405288
603	0.05857965152
604	0.05848506885
605	0.05837244944
606	0.05828654305
607	0.05822257073
608	0.0581281506
609	0.05801605238
610	0.05787422204
611	0.05785979091
612	0.05770354578
613	0.05759340549
614	0.0575074488
615	0.05736252443
616	0.05731975996
617	0.05730373335
618	0.05719019028
619	0.05702996691
620	0.05689636246
621	0.05671640763
622	0.05658532285
623	0.05643040194
624	0.0563209742
625	0.05618617968
626	0.05612281921
627	0.05598050561
628	0.05588103606
629	0.05573068356
630	0.05558709257
631	0.055479339
632	0.05528663224
633	0.05519271438
634	0.05508199874
635	0.05500437234
636	0.05495376658
637	0.05487259681
638	0.05476006392
639	0.05461681279
640	0.05445835428
641	0.05437269124
642	0.0541825911
643	0.05416590014
644	0.0541414614
645	0.05403835597
646	0.05398340029
647	0.05391678177
648	0.05383416298
649	0.05381957489
650	0.05373935268
651	0.05359163633
652	0.05350776468
653	0.05344127618
654	0.05337568736
655	0.05334351251
656	0.0532283772
657	0.05317166547
658	0.05306868608
659	0.05296755761
660	0.05275883259
661	0.05269704684
662	0.05253069828
663	0.05244453258
664	0.0524371713
665	0.05240482628
666	0.05238369389
667	0.05221064463
668	0.05216454304
669	0.05214524109
670	0.05210557361
671	0.05202913504
672	0.05191188662
673	0.05187313689
674	0.05175996247
675	0.05167487657
676	0.05164699596
677	0.05156553518
678	0.05152005021
679	0.05145659412
680	0.05137993439
681	0.05119811212
682	0.05119107223
683	0.05114331054
684	0.05105123999
685	0.05098929259
686	0.05088166219
687	0.05076238875
688	0.05065228422
